SHA	AREA	BEHAVIOR	CLINEMM_LANE	SUPERSESSION_RISK
c870116d1	RUNTIME_COMPLETION	emit task.completed from every session teardown path via emitTaskCompletedOnTeardown (shutdownSession + releaseSessionRuntime); new taskCompletedEmitted flag; failSession records final-turn error	COMPLETION_AUTHORITY	YES - directly supersedes current ClineMM completion authority work
80dd57315	RUNTIME_COMPLETION	desktop auto-expand submit_and_exit rows and render summary as markdown	COMPLETION_AUTHORITY	PARTIAL - UX only, no runtime authority change
b9efa9682	RESUME_RESTORE	continue the surviving idle session on resume/follow-up instead of rebuilding from task history; only rebuild when no live session matches displayed task	QPSR_RSR	YES - directly supersedes QPSR/RSR rebuild behavior
eef7958ca	RESUME_RESTORE	report truthful session status so desktop checkpoint restore stops wedging; cleared busyness when snapshot carries real status; reset agent.done dedup on session.pending_prompt_submitted; new idle sessions start as idle	QPSR_RSR	YES - directly supersedes session-status truthfulness work
9cf60cd43	RESUME_RESTORE	finalize queued turns on chat_done with canonical history reconcile (clear streaming id, short-delayed read_session_messages + applyCanonicalHistory, guarded by turn epoch/session id/in-flight send)	QPSR_RSR	YES - directly supersedes queued-turn finalization work
fed502e3c	RESUME_RESTORE	honor classic truncation range when migrating legacy tasks; legacyApiHistoryToSdkMessages slices deleted range and drops orphaned tool_results	LEGACY_TASK_MIGRATION	YES - directly supersedes migration truncation handling
89c2efa97	ABORT_CANCELLATION	checkpoint workspace restore refuses when HEAD moved past checkpoint; atomic compare-and-swap via git update-ref; closes guard-to-reset race	CHECKPOINT_RESTORE	YES - directly supersedes checkpoint restore race protection
52d5e1a51	ABORT_CANCELLATION	session aborts propagated to teammates; persisted aborted teammate tasks as cancelled; settle teammate work on session abort; isolate replacement runs from stale aborts	ABORT_PROPAGATION	PARTIAL - upstream covers multi-agent teammate aborts; ClineMM has no multi-agent lane active
3f0c5cdc9	CI	tidy workflow cache config and job permissions	CI	NO
6859d00e5	HUB	stop shipping full transcripts inside broadcast hub events	HUB	NO
0cfc90158	HUB	flush the /shutdown 202 before daemon teardown	HUB	NO
83ff8fd2f	HUB	cap hub-events db size so it can not fill the disk	HUB	NO
1de61b178	HUB	add drain and upgrade commands with replay support	HUB	NO
2b7b01328	TOOL_POLICY	auto-approve all MCP tool calls when the MCP toggle is on; remove mcpHub from isToolAutoApproved; simplify isMcpToolName to substring check	SAFE_YOLO_APPROVAL	YES - directly supersedes MCP-per-tool approval semantics
833cc891b	TOOL_POLICY	hide per-tool MCP auto-approve checkboxes behind a flag	SAFE_YOLO_APPROVAL	YES - removes per-tool MCP UI
7718142ef	TOOL_ROUTING	preserve CRLF line endings across apply_patch updates	EDITOR_TOOL	PARTIAL - applies to apply_patch, not editor
dc43a57fd	TOOL_ROUTING	create new files with platform-native line ending	EDITOR_TOOL	NO
8fe5a196c	TOOL_ROUTING	deliver tool hook contextModification to the model; fix: prefer errorMessage as cancelling hook stop reason; honor PostToolUse hook cancel and contextModification	HOOKS	PARTIAL - hook surface, not directly in ClineMM
