id	test_name	failure_type	failure_line	first_error	expected	observed	throws_before_assertion	production_method_reached	fixture_dependency_missing	timing_sensitive
TS-01	initializes a new task, emits the task message, and sends the resolved prompt	G3 (resolveSessionAutoApprovalOverride) + G11 (stale strict shape)	32	expected undefined to deeply equal Any<String>	Any<String>	undefined	YES (TypeError inside build)	sessionConfigBuilder.build	resolveSessionAutoApprovalOverride + sessionAutoApprovalOverride key	NO
TS-02	omits images/files from the task message when the task has no attachments	G3	96	say=error vs say=task	say=task	text="Failed to start task: ... is not a function"	YES	appendAndEmit (error path)	resolveSessionAutoApprovalOverride	NO
TS-03	emits a Cline auth error instead of starting when the cline provider has no token	G3	107	emitClineAuthError called with 'needs auth'	calls=1	calls=0	YES	(never reached)	resolveSessionAutoApprovalOverride	NO
TS-04	emits a Cline auth error instead of starting when ClinePass has no token	G3	118	emitClineAuthError called with 'needs clinepass auth'	calls=1	calls=0	YES	(never reached)	resolveSessionAutoApprovalOverride	NO
TS-05	emits a plain chat error when session start fails	G3	132	TypeError in captureProviderApiError	Error: "No model configured"	TypeError: "...resolveSessionAutoApprovalOverride..."	YES	post-build catch	resolveSessionAutoApprovalOverride	NO
TS-06	forwards task useAutoCondense=true into SDK session config inputs	G3	161	build called with objectContaining	taskSettings	passed but never reached	YES	(never reached)	resolveSessionAutoApprovalOverride	NO
TS-07	forwards task useAutoCondense=false into SDK session config inputs	G3 (same as TS-06)	161	build called with objectContaining	taskSettings	passed but never reached	YES	(never reached)	resolveSessionAutoApprovalOverride	NO
TS-08	CORRECTION01-1: setTurnPhase is asserted with streaming	G3	316	setTurnPhase called	at least once	calls=0	YES	(never reached post-build)	resolveSessionAutoApprovalOverride	NO
TS-09	CORRECTION02-1: setTurnPhase(streaming) NOT asserted while startNewSession pending	G3	355	startNewSession called	once	calls=0	YES	(never reached)	resolveSessionAutoApprovalOverride	NO
TS-10	CORRECTION02-2: exactly one setTurnPhase(streaming)	G3	375	streaming calls length	1	0	YES	(never reached)	resolveSessionAutoApprovalOverride	NO
TS-11	CORRECTION03-1: postStateToWebview fires after setTurnPhase(streaming); seed post fires before session resolves	G3	443	startInvokeIdx found	>=0	-1 (order empty)	YES	(never reached)	resolveSessionAutoApprovalOverride	NO
